valor del producto:  $29.459;  Wed Apr 21 2021 18:42:01 GMT-0400 (hora estándar de Chile)
Producto: Plan Acelera;  4/26/2021 13:8:39
Precio del producto:  $88.435;  4/26/2021 13:8:39
Valor del producto: IVA: $16.803;  4/26/2021 13:8:39
Iva del producto: $105.238;  4/26/2021 13:8:39
Nombre del producto: Sauce Labs Backpack;  Mon Apr 26 2021 14:32:14 GMT-0400 (hora estándar de Chile)
valor del producto: $29.99;  Mon Apr 26 2021 14:32:14 GMT-0400 (hora estándar de Chile)
Nombre del producto: Sauce Labs Backpack;  Mon Apr 26 2021 14:32:57 GMT-0400 (hora estándar de Chile)
valor del producto: $29.99;  Mon Apr 26 2021 14:32:57 GMT-0400 (hora estándar de Chile)
Total Resumen: $ 35.079 CLP;  Mon Apr 26 2021 19:50:23 GMT-0400 (hora estándar de Chile)
Producto: Plan Inicia;  Mon Apr 26 2021 19:50:24 GMT-0400 (hora estándar de Chile)
Precio del producto:  $29.478;  Mon Apr 26 2021 19:50:24 GMT-0400 (hora estándar de Chile)
Valor del producto: IVA: $5.601;  Mon Apr 26 2021 19:50:25 GMT-0400 (hora estándar de Chile)
Iva del producto: $35.079;  Mon Apr 26 2021 19:50:25 GMT-0400 (hora estándar de Chile)
Total Resumen: $  35.163 CLP;  Fri May 14 2021 09:11:11 GMT-0400 (hora estándar de Chile)
Producto: Plan Inicia;  Fri May 14 2021 09:11:15 GMT-0400 (hora estándar de Chile)
Precio del producto:  $29.548;  Fri May 14 2021 09:11:15 GMT-0400 (hora estándar de Chile)
Valor del producto: IVA: $5.614;  Fri May 14 2021 09:11:15 GMT-0400 (hora estándar de Chile)
Iva del producto: $35.162;  Fri May 14 2021 09:11:15 GMT-0400 (hora estándar de Chile)
Total Resumen: $  35.163 CLP;  Fri May 14 2021 09:33:30 GMT-0400 (hora estándar de Chile)
Producto: Plan Inicia;  Fri May 14 2021 09:33:33 GMT-0400 (hora estándar de Chile)
Precio del producto:  $29.548;  Fri May 14 2021 09:33:33 GMT-0400 (hora estándar de Chile)
Valor del producto: IVA: $5.614;  Fri May 14 2021 09:33:33 GMT-0400 (hora estándar de Chile)
Iva del producto: $35.162;  Fri May 14 2021 09:33:33 GMT-0400 (hora estándar de Chile)
Total Resumen: $  35.208 CLP;  Mon May 24 2021 09:01:40 GMT-0400 (hora estándar de Chile)
Producto: Plan Inicia;  Mon May 24 2021 09:01:42 GMT-0400 (hora estándar de Chile)
Precio del producto:  $29.587;  Mon May 24 2021 09:01:42 GMT-0400 (hora estándar de Chile)
Valor del producto: IVA: $5.621;  Mon May 24 2021 09:01:42 GMT-0400 (hora estándar de Chile)
Iva del producto: $35.208;  Mon May 24 2021 09:01:42 GMT-0400 (hora estándar de Chile)
Total Resumen: $  35.240 CLP;  Mon May 31 2021 10:25:03 GMT-0400 (hora estándar de Chile)
Producto: Plan Inicia;  Mon May 31 2021 10:25:04 GMT-0400 (hora estándar de Chile)
Precio del producto:  $29.613;  Mon May 31 2021 10:25:04 GMT-0400 (hora estándar de Chile)
Valor del producto: IVA: $5.627;  Mon May 31 2021 10:25:04 GMT-0400 (hora estándar de Chile)
Iva del producto: $35.240;  Mon May 31 2021 10:25:05 GMT-0400 (hora estándar de Chile)
Total Resumen: $  35.244 CLP;  Tue Jun 01 2021 16:51:03 GMT-0400 (hora estándar de Chile)
Producto: Plan Inicia;  Tue Jun 01 2021 16:51:05 GMT-0400 (hora estándar de Chile)
Precio del producto:  $29.617;  Tue Jun 01 2021 16:51:05 GMT-0400 (hora estándar de Chile)
Valor del producto: IVA: $5.627;  Tue Jun 01 2021 16:51:05 GMT-0400 (hora estándar de Chile)
Iva del producto: $35.244;  Tue Jun 01 2021 16:51:05 GMT-0400 (hora estándar de Chile)
Total Resumen: $  35.244 CLP;  1-6-2021  17:1:35
Producto: Plan Inicia;  1-6-2021  17:1:35
Precio del producto:  $29.617;  1-6-2021  17:1:35
Valor del producto: IVA: $5.627;  1-6-2021  17:1:35
Iva del producto: $35.244;  1-6-2021  17:1:35
